"","YaleID","Accession.ID"
"226","Yale-4105","EPI_ISL_2035076"
"227","Yale-4100","EPI_ISL_2035066"
"228","Yale-4092","EPI_ISL_2035055"
"229","Yale-4107","EPI_ISL_2035079"
"230","Yale-4097","EPI_ISL_2035062"
"231","Yale-4089","EPI_ISL_2035050"
"232","Yale-4094","EPI_ISL_2035058"
"233","Yale-4083","EPI_ISL_2035040"
"234","Yale-4090","EPI_ISL_2035051"
"235","Yale-4082","EPI_ISL_2035038"
"236","Yale-4085","EPI_ISL_2035044"
"237","Yale-4086","EPI_ISL_2035045"
"238","Yale-4075","EPI_ISL_2035028"
"239","Yale-4065","EPI_ISL_2035020"
"240","Yale-4068","EPI_ISL_2035022"
"241","Yale-4078","EPI_ISL_2035032"
"242","Yale-4054","EPI_ISL_2035012"
"243","Yale-4052","EPI_ISL_2035011"
"244","Yale-4055","EPI_ISL_2035013"
"245","Yale-4047","EPI_ISL_2035005"
"246","Yale-4049","EPI_ISL_2035008"
"247","Yale-4037","EPI_ISL_2034992"
"248","Yale-4042","EPI_ISL_2034998"
"249","Yale-4031","EPI_ISL_2034986"
"250","Yale-4033","EPI_ISL_2034988"
"251","Yale-4030","EPI_ISL_2034985"
"252","Yale-4039","EPI_ISL_2034994"
"253","Yale-4040","EPI_ISL_2034995"
"254","Yale-4036","EPI_ISL_2034991"
"255","Yale-4024","EPI_ISL_2034979"
"256","Yale-4026","EPI_ISL_2034981"
"257","Yale-4032","EPI_ISL_2034987"
"258","Yale-4019","EPI_ISL_2034973"
"259","Yale-4017","EPI_ISL_2034970"
"260","Yale-4016","EPI_ISL_2034969"
"261","Yale-4015","EPI_ISL_2034968"
"262","Yale-4023","EPI_ISL_2034978"
"263","Yale-4006","EPI_ISL_2034955"
"264","Yale-4010","EPI_ISL_2034961"
"265","Yale-4013","EPI_ISL_2034965"
"266","Yale-4009","EPI_ISL_2034959"
"267","Yale-4004","EPI_ISL_2034952"
"268","Yale-4007","EPI_ISL_2034957"
"269","Yale-4003","EPI_ISL_2034951"
"270","Yale-3998","EPI_ISL_2034944"
"271","Yale-3993","EPI_ISL_2034936"
"272","Yale-3999","EPI_ISL_2034945"
"273","Yale-3996","EPI_ISL_2034941"
"274","Yale-3994","EPI_ISL_2034938"
"275","Yale-3997","EPI_ISL_2034942"
"276","Yale-3990","EPI_ISL_2034932"
"277","Yale-3984","EPI_ISL_2034924"
"278","Yale-3983","EPI_ISL_2034923"
"279","Yale-3978","EPI_ISL_2034916"
"280","Yale-3987","EPI_ISL_2034928"
"281","Yale-3977","EPI_ISL_2034914"
"282","Yale-3972","EPI_ISL_2034907"
"283","Yale-3985","EPI_ISL_2034925"
"284","Yale-3989","EPI_ISL_2034931"
"285","Yale-3980","EPI_ISL_2034918"
"286","Yale-3976","EPI_ISL_2034913"
"287","Yale-3971","EPI_ISL_2034906"
